video_directory,start_time,end_time,caption
ADDPTYUQ.mp4,25.1,30.5,The polyergus mexicanus is grooming itself.
ADLFEZYO.mp4,13.6,17.7,The egret is walking.
ADLFEZYO.mp4,13.6,17.7,The stork is preening itself.
ADLFEZYO.mp4,8.9,11.9,The egret is preening itself.
ADLFEZYO.mp4,8.9,11.9,The stork is walking.
ADLFEZYO.mp4,8.9,17.7,The black stork is exploring.
ADLFEZYO.mp4,8.9,17.7,The stork is keeping still.
ADQAIQDT.mp4,10.0,12.7,The nudibranch is moving.
ADQAIQDT.mp4,4.0,6.5,The nudibranch is keeping still.
ADQAIQDT.mp4,6.6,9.8,The nudibranch is sensing its environment.
ADRILHEB.mp4,25.8,29.6,The cabbage white caterpillar is sensing its environment.
ADRILHEB.mp4,31.5,39.3,The cabbage white caterpillar is keeping still.
ADRILHEB.mp4,42.0,44.2,The aphid is keeping still.
ADRILHEB.mp4,42.0,44.2,The cabbage white caterpillar is struggling.
ADROVAMC.mp4,11.7,16.0,The playful young of the lion (cub) is biting the other cub.
ADROVAMC.mp4,11.7,16.0,The young of the lion (cub) is attending.
ADROVAMC.mp4,11.7,16.0,The young of the lion (cub) is playing.
ADROVAMC.mp4,23.5,35.3,The lion roars.
ADROVAMC.mp4,36.4,43.4,The lion is sensing its environment.
ADROVAMC.mp4,36.4,43.4,The young of the lion (cub) is walking.
ADROVAMC.mp4,7.6,11.0,The lion is walking.
ADSQEHCQ.mp4,18.0,26.7,The gryllus lineaticeps is moving.
ADSQEHCQ.mp4,27.5,38.4,The two gryllus lineaticeps crickets are shaking their bodies in a rivalry call.
ADSQEHCQ.mp4,38.6,40.0,The gryllus lineaticeps crickets are fighting on the forest floor.
ADSQEHCQ.mp4,8.2,16.8,The gryllus lineaticeps cricket is flapping its wings making noise to attract opposite sex.
ADSQEHCQ.mp4,8.2,16.8,The gryllus lineaticeps is flapping its wings.
AEBGXWPM.mp4,11.5,33.0,The caterpillar is exploring the yellow mass on the green leaf.
AEBGXWPM.mp4,4.9,6.5,The caterpillar retaliates after being attacked by the wasp.
AEBGXWPM.mp4,4.9,6.5,The wasp disturbs the caterpillar on the leaf.
AELWCJVY.mp4,11.3,16.7,The goldfinch is flapping its wings.
AELWCJVY.mp4,3.3,11.3,The goldfinch makes a landing.
AELWCJVY.mp4,3.3,12.8,The goldfinch is eating.
AEVOGKGZ.mp4,71.0,76.9,The fish is swimming.
AEZFDVTT.mp4,0.1,1.9,The leafcutter ant is biting a piece of leaf.
AEZFDVTT.mp4,0.1,1.9,The leafcutter ant is eating.
AEZFDVTT.mp4,6.9,23.3,The leafcutter ant is moving.
AEZFDVTT.mp4,6.9,23.3,The leafcutter ants are carrying a piece of leaf each.
AFAXLFGA.mp4,15.9,19.9,The wild dog is walking.
AFAXLFGA.mp4,8.5,14.3,The wildebeest is eating.
AFAXLFGA.mp4,8.5,14.3,The wildebeest is walking.
AFCMSDKB.mp4,17.0,18.0,The hoopoe is keeping still.
AFCMSDKB.mp4,18.1,20.0,The hoopoe is chirping.
AFCMSDKB.mp4,20.1,21.5,The hoopoe is sensing its environment.
AFFIMJHH.mp4,0.0,2.0,The skylark is eating.
AFFIMJHH.mp4,2.0,9.0,The skylark is sensing its environment.
AFFIMJHH.mp4,9.2,22.2,The skylark is walking.
AFIXMLZD.mp4,3.6,4.7,The mosquito is flying.
AFIXMLZD.mp4,4.7,7.1,The mosquito is keeping still.
AFIXMLZD.mp4,8.3,15.1,The mosquito larva is keeping still.
AFIXMLZD.mp4,8.3,15.1,The mosquito larva is moving.
AFLQRIFB.mp4,19.1,21.2,The blue poison dart frog is jumping.
AFLQRIFB.mp4,19.1,21.2,The blue poison dart frog is swimming.
AFLQRIFB.mp4,21.3,30.1,The blue poison dart frog is keeping still.
AFXTEUPH.mp4,0.1,2.2,The fish is being eaten by another fish.
AFXTEUPH.mp4,0.1,2.2,The fish is eating.
AFXTEUPH.mp4,28.2,32.1,The chamois goat antelope is keeping still.
AFXTEUPH.mp4,28.2,32.1,The chamois goat antelope is walking.
AFXTEUPH.mp4,32.2,37.4,The chamois goat antelope flees from the other goat.
AFXTEUPH.mp4,32.2,37.4,The chamois goat antelope is disturbing another chamois goat antelope by ramming its horns on to its rear.
AGCFILVZ.mp4,61.7,74.7,The black mamba is keeping still.
AGGVGAMC.mp4,0.0,9.6,The young of the lion (cub) is walking.
AGGVGAMC.mp4,11.1,16.7,The young of the lion (cub) is climbing.
AGGVGAMC.mp4,16.9,19.5,The lion is sensing its environment.
AGGVGAMC.mp4,19.5,22.7,The lion is walking.
AGGVGAMC.mp4,4.9,6.8,The young of the lion (cub) is sensing its environment.
AGGVGAMC.mp4,9.6,11.1,The young of the lion (cub) is jumping.
AGNVDHVR.mp4,0.9,6.2,The white speckled rattlesnake is biting.
AGNVDHVR.mp4,50.5,55.6,The snake is keeping still.
AGNVDHVR.mp4,55.6,61.6,The snake is sensing its surrounding.
AGNVDHVR.mp4,6.4,26.2,The white speckled rattlesnake is sensing its surrounding.
AGNVDHVR.mp4,62.3,65.7,The snake is moving.
AGVHZHVR.mp4,12.8,24.6,The gaboon viper is eating.
AGVHZHVR.mp4,12.8,24.6,The rat is being bitten and eaten by the gabon viper.
AGVHZHVR.mp4,42.9,54.8,The gaboon viper is keeping still.
AGVKRMRN.mp4,1.1,28.0,The brown common snipe is pecking and feeding off the water.
AGVKRMRN.mp4,18.2,28.0,The grey birds are preening themselves.
AGVKRMRN.mp4,27.0,31.0,The grey bird in the background is keeping still.
AGVKRMRN.mp4,28.0,31.0,The brown common snipe walks on the swampy grass patch.
AGVKRMRN.mp4,28.0,31.0,The grey bird in the foreground is sensing its environment.
AGVKRMRN.mp4,31.1,41.6,The common snipe is sensing its environment while being on the grass patch.
AGVKRMRN.mp4,35.4,37.7,The common snipe is keeping still while being on the grass patch.
AGWKBNPL.mp4,16.5,21.5,The chimpanzee is manipulating the tortoise.
AGWKBNPL.mp4,21.6,23.1,The chimpanzee is lying down.
AHLBSLHH.mp4,0.8,12.6,The frog is swimming.
AHLBSLHH.mp4,19.9,23.7,The frog is keeping still.
AHLBSLHH.mp4,23.9,26.0,The snake is sensing its environment.
AHLBSLHH.mp4,26.1,27.2,The frog is jumping.
AHLBSLHH.mp4,26.1,34.6,The snake is moving.
AHLBSLHH.mp4,27.3,27.4,The snake is keeping still.
AHLBSLHH.mp4,27.6,30.0,The frog is moving.
AHNHHFGA.mp4,52.5,61.5,The polar bear is walking.
AHNHHFGA.mp4,52.5,61.5,The polar bear walks through the endless white frozenland aimlessly.
AIDPWOQU.mp4,6.4,19.6,The snake is keeping still.
AIERSXGD.mp4,22.1,24.9,The horse is running.
AIICZDSN.mp4,10.5,11.6,The hawk is flying.
AIICZDSN.mp4,10.5,11.6,The iguana is running.
AIICZDSN.mp4,12.9,14.7,The hawk attacks and pins the marin iguana to the ground.
AIICZDSN.mp4,12.9,14.7,The iguana tries to flee from the grasp of the eagle.
AIICZDSN.mp4,2.7,10.4,The marine iguana is running.
AIICZDSN.mp4,7.3,8.8,The hawk is gliding.
AIYRAMYV.mp4,1.9,6.5,The atheris squamigera makes an attacking move.
AIYRAMYV.mp4,6.6,8.7,The atheris squamigera is keeping still.
AIYRAMYV.mp4,8.8,14.3,The atheris squamigera is moving.
AIZNYLHH.mp4,20.3,24.7,The bullfrog is keeping still.
AIZNYLHH.mp4,27.0,30.9,The bullfrog is walking.
AIZNYLHH.mp4,31.0,37.9,The bullfrog is attending.
AIZTBLHH.mp4,10.5,16.3,The worm is moving.
AIZTBLHH.mp4,10.5,19.4,The sand frog is keeping still.
AJAWWQFB.mp4,20.1,25.5,The young of california newt is biting the egg sacs.
AJAWWQFB.mp4,25.9,26.3,The young of california newt is swimming.
AJAWWQFB.mp4,5.7,11.3,The california newt is keeping still.
AJAWWQFB.mp4,5.7,11.3,The california newt is moving.
AJAWWQFB.mp4,5.7,16.6,The male california newt is hugging the female counterpart to mate while swimming away together.
AJGFGKEW.mp4,0.4,0.8,The antelope is keeping still.
AJGFGKEW.mp4,0.4,2.3,The antelope is walking.
AJGFGKEW.mp4,0.4,4.7,The giraffe is drinking.
AJGFGKEW.mp4,10.7,11.8,The fish is jumping.
AJGFGKEW.mp4,10.7,11.8,The pelican is eating.
AJGFGKEW.mp4,32.2,34.2,The pelican is flying.
AJGFGKEW.mp4,32.2,34.2,The pelican is sensing its environment.
AJGFGKEW.mp4,4.8,7.8,The giraffe is attending.
AJGFGKEW.mp4,8.3,9.7,The giraffe is walking.
AJIONRME.mp4,22.2,31.3,The metlapilcoatlus mexicanus jumping pit viper is keeping still.
AJIONRME.mp4,31.4,41.5,The metlapilcoatlus mexicanus jumping pit viper is moving.
AJQODPJK.mp4,6.7,10.6,The fish is swimming.
AJSTSLHH.mp4,0.8,2.6,The sand frog is eating.
AJSTSLHH.mp4,10.5,12.9,The sand frog is keeping still.
AJSTSLHH.mp4,13.1,15.5,The ladybug is keeping still.
AJSTSLHH.mp4,15.7,16.7,The sand frog is jumping.
AJSTSLHH.mp4,19.5,24.0,The ladybug is grooming itself.
AJSTSLHH.mp4,24.1,26.2,The hairy caterpillar is moving.
AJSTSLHH.mp4,3.3,4.1,The sand frog is grooming itself.
AJSTSLHH.mp4,6.5,10.4,The ladybug is moving.
AJYFRCIW.mp4,18.2,25.4,The salticidae jumping spider is sensing its environment.
AJYFRCIW.mp4,2.1,5.5,The bird is flying.
AJYFRCIW.mp4,25.5,29.4,The salticidae jumping spider is eating.
AJYFRCIW.mp4,29.5,35.0,The salticidae jumping spider is moving.
AJYFRCIW.mp4,35.1,37.6,The salticidae jumping spider is attending.
AKAWSLSK.mp4,0.0,3.6,The turtle is keeping still.
AKAWSLSK.mp4,40.0,50.1,The turtle is eating.
AKPXTPIF.mp4,1.2,3.2,The shoebill bird attacks a piece of wood.
AKPXTPIF.mp4,11.0,12.0,The shoebill bird is keeping still.
AKPXTPIF.mp4,13.6,20.3,The shoebill bird is flying.
AKPXTPIF.mp4,24.4,28.2,The shoebill bird is sensing its surrounding.
AKPXTPIF.mp4,28.3,32.7,"The grey shoebill bird with large beak flaps its wings, while it stretches up."
AKPXTPIF.mp4,3.2,10.9,The shoebill bird is biting a piece of wood.
AKQBNVMW.mp4,13.4,70.2,The russell's viper is moving.
AKQBNVMW.mp4,70.3,73.7,The russell's viper is sensing its environment.
AKWJJJNO.mp4,54.9,60.0,The laticauda saintgironsi sea krait is keeping still.
AKWJJJNO.mp4,73.1,75.3,The laticauda saintgironsi sea krait is moving.
AKWJJJNO.mp4,76.3,79.9,The laticauda saintgironsi sea krait is attending.
ALMBYLHH.mp4,10.0,12.8,The frog performs a back kick.
ALMBYLHH.mp4,12.9,16.5,The frog is attending.
ALMBYLHH.mp4,16.7,20.1,The frog is hugging one another.
ALMBYLHH.mp4,16.7,31.0,The frog is keeping still.
ALMBYLHH.mp4,2.6,12.8,The frog is moving.
ALPJMKRF.mp4,35.6,43.5,The dispholidus typus snake is sensing its environment.
ALPJMKRF.mp4,6.9,35.5,The dispholidus typus snake is keeping still.
AMCEUBRS.mp4,0.2,8.4,The apis mellifera honey bee grooms and prepares itself for the next journey.
AMCEUBRS.mp4,0.2,8.4,The apis mellifera honey bee is grooming itself.
AMCEUBRS.mp4,20.8,23.0,The apis mellifera honey bee is exploring.
AMCEUBRS.mp4,24.1,26.1,The apis mellifera honey bee is flying.
AMCEUBRS.mp4,29.3,31.7,The apis mellifera honey bee is entering its nest.
AMCEUBRS.mp4,33.1,34.5,The apis mellifera honey bee is moving.
AMCEUBRS.mp4,9.0,16.7,The apis mellifera honey bee is eating.
AMCWMKBS.mp4,11.5,18.8,The black headed python is moving.
AMCWMKBS.mp4,19.6,22.9,The frilled neck lizard is startled.
AMCWMKBS.mp4,4.8,7.8,The frilled neck lizard is running.
AMCWMKBS.mp4,4.8,7.8,The red ant is moving.
AMCWMKBS.mp4,8.9,11.4,The frilled neck lizard is eating.
AMMPXJII.mp4,27.5,36.5,The giant salamander is walking.
AMMPXJII.mp4,27.5,36.5,The red giant salamander is walking underwater on the river bed.
AMQNDBQT.mp4,26.5,30.8,The otter is calling.
AMQNDBQT.mp4,30.9,33.6,The otter is eating.
AMQNDBQT.mp4,56.9,60.9,The otter is swimming.
AMQNDBQT.mp4,56.9,64.0,The otter is sensing its environment.
AMRTXJBD.mp4,11.7,31.0,The grasshopper warbler is chirping.
AMRTXJBD.mp4,7.5,17.0,The grasshopper warbler is sensing its surrounding.
ANAEVSQK.mp4,26.8,36.8,The scutigera coleoptera house centipede is keeping still.
ANAEVSQK.mp4,4.3,13.9,The scutigera coleoptera house centipede is moving.
ANAEVSQK.mp4,4.3,8.6,The worm is moving.
ANKQTACP.mp4,0.8,11.5,The araneus diadematus spider is moving.
ANKQTACP.mp4,11.6,25.1,The zygiella x-notata is moving.
ANKQTACP.mp4,25.2,26.4,The spider is moving.
ANKQTACP.mp4,26.4,27.9,The spider is keeping still.
ANQQWKJZ.mp4,37.1,49.0,The western pine beetle larva is eating.
ANQQWKJZ.mp4,60.7,65.7,The western pine beetle is exiting its nest.
ANQQWKJZ.mp4,7.2,11.1,The western pine beetle is entering its nest.
ANQQWKJZ.mp4,7.2,11.1,The western pine beetle is moving.
ANSYYSOB.mp4,0.1,5.7,The montpellier snake is keeping still.
ANSYYSOB.mp4,44.7,53.4,The montpellier snake is sensing its environment.
ANSYYSOB.mp4,5.8,44.4,The montpellier snake is moving.
ANTTGTEK.mp4,21.1,24.4,The greater flamingo is sensing its environment.
ANTTGTEK.mp4,21.1,24.4,The greater flamingo is walking.
ANTTGTEK.mp4,33.8,34.4,The parrot is walking.
AOGVBZTV.mp4,1.6,3.8,The common crane is sensing its surrounding.
AOGVBZTV.mp4,1.6,6.5,The common crane is attending.
AOGVBZTV.mp4,3.9,4.7,The bird makes a landing.
AOGVBZTV.mp4,4.8,7.7,The common crane is walking.
AOGVBZTV.mp4,6.6,7.7,The common crane is eating.
AOGVBZTV.mp4,7.8,13.8,The common crane is chirping.
AOOUUPZC.mp4,16.8,28.3,The bordered mantis is hugging another mantis.
AOOUUPZC.mp4,16.8,28.3,The bordered mantis is moving.
AOZAVPDI.mp4,12.6,14.9,The fish is entering its nest.
AOZAVPDI.mp4,12.6,14.9,The fish is sensing its environment.
AOZAVPDI.mp4,15.8,17.7,The goby fish is entering its nest.
AOZAVPDI.mp4,15.8,17.7,The goby fish is sensing its environment.
AOZAVPDI.mp4,4.2,6.7,The fish is swimming.
AOZFSLZD.mp4,0.0,9.5,The mosquito is eating.
AOZFSLZD.mp4,9.6,12.7,The mosquito is flying.
APCOYQCN.mp4,13.1,15.7,The ibex is climbing.
APCOYQCN.mp4,13.1,15.7,The ibex is keeping still.
APCOYQCN.mp4,6.3,8.0,The ibex is exploring.
APCOYQCN.mp4,6.3,8.0,The ibex is sensing its environment.
APCOYQCN.mp4,9.4,12.7,The ibex is walking.
APFAUPIF.mp4,13.1,19.6,The minke whale surfaces from the water.
APFAUPIF.mp4,4.1,19.6,The group of orcas surfaces from the ocean.
APGBLAMC.mp4,1.5,22.8,The young of the lion (cub) is walking.
APGBLAMC.mp4,13.9,22.8,The young of the lion (cub) is sensing its environment.
APGBLAMC.mp4,13.9,26.6,The lion is keeping still.
APGBLAMC.mp4,2.4,12.8,"Two lions are walking in the jungle, the smaller one is walking in front."
APGBLAMC.mp4,22.8,26.6,The young of the lion (cub) is grooming itself.
APHHBFNJ.mp4,15.2,19.3,The iguana is swimming.
APHHBFNJ.mp4,24.6,26.8,The iguana is sensing its environment.
APHHBFNJ.mp4,3.8,7.5,The iguana is keeping still.
APHHBFNJ.mp4,36.1,37.1,The iguana is attending.
APLRZUPH.mp4,13.6,23.0,The black sterlet fish is swimming towards a region with sea grass.
APLRZUPH.mp4,13.6,37.1,The sterlet fish is swimming.
APLRZUPH.mp4,23.1,37.1,The black sterlet fish is swimming but is caught in between the sea grass.
APLRZUPH.mp4,37.2,48.4,The tench fish is exploring the bottom of the water body.
APLRZUPH.mp4,37.2,58.4,The tench fish is swimming.
APLRZUPH.mp4,67.3,76.4,The pike perch fish is swimming gracefully in the deep water.
APLRZUPH.mp4,67.3,76.4,The pike perch fish is swimming.
APLRZUPH.mp4,76.6,79.9,The fish is keeping still.
APLYQJYD.mp4,16.4,18.9,The acyrthosiphon pisum aphid is sensing its environment.
APLYQJYD.mp4,19.4,30.7,The acyrthosiphon pisum aphid is eating.
APLYQJYD.mp4,30.8,35.8,The acyrthosiphon pisum aphid is keeping still.
APLYQJYD.mp4,36.0,46.0,The acyrthosiphon pisum aphid is giving birth.
APLYQJYD.mp4,8.1,10.7,The aphis fabae aphid is sensing its environment.
APLYQJYD.mp4,8.1,13.9,The aphis fabae aphid is moving.
APOADHCQ.mp4,28.7,33.6,The gryllus lineaticeps is keeping still.
APOADHCQ.mp4,28.7,57.5,The gryllus lineaticeps is moving.
APOADHCQ.mp4,34.1,36.4,The gryllus lineaticeps is sensing its environment.
APOADHCQ.mp4,34.1,57.5,The gryllus lineaticeps is flapping its wings.
APOADHCQ.mp4,41.9,50.0,The gryllus lineaticeps cricket is flapping its wings and making a courtship call while another gryllus lineaticeps is moving about.
AQPZKMCW.mp4,5.0,6.4,The red-throated pipit is exploring.
AQPZKMCW.mp4,6.6,8.6,The red-throated pipit is eating.
AQPZKMCW.mp4,8.6,13.6,The red-throated pipit is sensing its environment.
ARRNNFFP.mp4,62.3,75.2,The sand bubbler crab is eating.
ARRNNFFP.mp4,75.4,79.3,The sand bubbler crab is moving.
ARUDERYK.mp4,0.0,2.5,The weaver ant is moving.
ARUWSVTI.mp4,11.1,14.7,The smew is keeping still.
ARUWSVTI.mp4,14.7,16.2,The smew is diving.
ARUWSVTI.mp4,20.7,21.7,The smew is sensing its environment.
ARUWSVTI.mp4,21.7,22.7,The smew is swimming.
ARUWSVTI.mp4,9.7,12.9,The smew is attending.
ARWBUBQT.mp4,16.3,20.3,The raffles banded langur is sensing its environment.
ARWBUBQT.mp4,20.5,23.3,The raffles banded langur is grooming itself.
ARWBUBQT.mp4,20.5,23.3,The raffles banded langur is moving.
ARWBUBQT.mp4,23.4,37.4,The raffles banded langur is eating.
ARWBUBQT.mp4,3.1,7.1,The raffles banded langur is walking.
ARWBUBQT.mp4,3.1,9.3,The raffles banded langur is keeping still.
ARWBUBQT.mp4,37.6,39.7,The raffles banded langur is attending.
ARWBUBQT.mp4,39.8,43.2,The raffles banded langur is climbing.
ARWBUBQT.mp4,7.5,13.3,The raffles banded langur is jumping.
ARWBUBQT.mp4,9.5,13.3,The raffles banded langur is sitting.
ASNJWQRD.mp4,10.8,14.4,The jerusalam cricket is exiting its nest.
ASNJWQRD.mp4,8.6,10.6,The jerusalam cricket is moving.
ASPECCNX.mp4,15.6,20.6,The wolf bites off the tree branch and carries it in its mouth.
ASPECCNX.mp4,21.2,23.1,The wolf is sensing its environment.
ASPECCNX.mp4,23.2,26.2,The wolf is biting the tree branch.
ASPECCNX.mp4,26.3,27.0,The wolf bites and manipulates the branch.
ASRGHXGD.mp4,12.0,14.9,The horse is sensing its environment.
ASRGHXGD.mp4,15.0,19.4,The horses allo-groom each other in the snow.
ASRGHXGD.mp4,19.5,25.6,The horse is eating.
ASRGHXGD.mp4,25.6,34.5,The horse is digging.
ASRGHXGD.mp4,7.9,12.0,The horse is walking.
ASTKLSOM.mp4,0.1,20.3,The bird is flying.
ASTKLSOM.mp4,20.4,26.8,The mallard duck makes a landing.
ASTKLSOM.mp4,26.9,37.3,The mallard duck is swimming.
ASULNXGD.mp4,21.6,24.6,The horse is attending.
ASULNXGD.mp4,21.6,24.6,The horse is eating.
ASULNXGD.mp4,31.4,36.6,The horse is running.
ASULNXGD.mp4,6.2,20.6,The horse is walking.
ASULNXGD.mp4,7.5,10.4,The horse is sensing its environment.
ASXQQKEW.mp4,78.5,79.7,The giraffe is walking.
ASZAUKJZ.mp4,0.2,10.9,The western pine beetle is moving.
ASZAUKJZ.mp4,25.2,33.0,The western pine beetle is exiting its nest.
ASZAUKJZ.mp4,33.1,36.6,The western pine beetle is entering its nest.
ATCDAHPH.mp4,10.7,14.2,The bumblebee is flying.
ATCDAHPH.mp4,14.3,17.6,The bumblebee makes a landing.
ATCDAHPH.mp4,2.1,3.2,The hummingbird is eating.
ATCDAHPH.mp4,3.3,4.4,The bee is flying.
ATCDAHPH.mp4,3.3,4.4,The danaus plexippus monarch butterfly is eating.
ATCDAHPH.mp4,4.5,6.7,The bee makes a landing.
ATCDAHPH.mp4,7.0,14.2,The bumblebee is eating.
ATCDTPAB.mp4,0.1,47.7,The dice snake is eating.
ATCDTPAB.mp4,47.8,54.9,The dice snake is attending.
ATCDTPAB.mp4,54.9,59.2,The dice snake is moving.
ATCDTPAB.mp4,60.4,61.6,The dice snake is swimming.
ATCDTPAB.mp4,67.8,75.8,"The dice snake in the foreground continues to bite on the fish, and not let the other fish have a bite."
ATCDTPAB.mp4,67.8,75.8,The vimba fish is being held and carried in the mouth of a dice snake which rests on the edge of the water.
ATJXVXTD.mp4,0.4,1.8,The cryptic mantis is attending.
ATJXVXTD.mp4,1.8,4.8,The cryptic mantis is keeping still.
ATJXVXTD.mp4,12.5,17.2,The cryptic mantis is jumping.
ATJXVXTD.mp4,13.2,17.2,The cryptic mantis is sensing its environment.
ATJXVXTD.mp4,17.4,25.1,The cryptic mantis is grooming itself.
ATJXVXTD.mp4,5.1,12.4,The cryptic mantis is moving.
ATKXQTHG.mp4,22.2,29.4,The brooke's duikers is walking.
ATKXQTHG.mp4,34.3,43.5,The bay's duiker is walking.
ATKXQTHG.mp4,35.9,38.9,The bay's duiker is exploring.
ATKXQTHG.mp4,4.5,17.4,The zebra-duiker is exploring.
ATKXQTHG.mp4,43.5,45.5,The bay's duiker is running.
ATKXQTHG.mp4,50.0,65.7,The black duiker is exploring.
ATKXQTHG.mp4,70.7,72.8,The maxwell's duiker is walking.
ATUDVFYY.mp4,14.0,17.1,"The oriental pied hornbill is carrying a piece of red coloured fruit in its mouth, while standing on the tree branch."
ATUDVFYY.mp4,8.0,10.0,The oriental pied hornbill is flying.
AUBWYSOM.mp4,0.0,3.9,The mallard duck is swimming.
AUBWYSOM.mp4,0.0,3.9,The mallard duck makes a landing.
AUBWYSOM.mp4,13.3,30.0,The bird is flying.
AUBWYSOM.mp4,30.2,33.4,The common goldeneye is running on water.
AUBWYSOM.mp4,33.5,47.1,The common goldeneye is flying.
AUBWYSOM.mp4,4.0,13.1,The goose is flying.
AUOZCUFF.mp4,16.2,20.1,The common buzzard is eating.
AUOZCUFF.mp4,16.2,22.9,The common buzzard is spreading its wings.
AUOZCUFF.mp4,20.2,22.9,"The two common buzzard birds are flapping its wings, while standing on the grass."
AUQXIXGD.mp4,1.1,10.2,The kangaroo is jumping.
AUQXIXGD.mp4,10.3,14.7,The wedge tailed eagle is flying.
AUQXIXGD.mp4,13.1,17.9,The rabbit is jumping.
AURAWNSU.mp4,10.7,12.8,The hyena is running.
AURAWNSU.mp4,10.7,12.8,The hyena is walking.
AURAWNSU.mp4,15.1,16.9,The ostrich is chirping.
AURAWNSU.mp4,17.1,18.6,The ostrich is walking.
AURAWNSU.mp4,2.6,6.1,The hyena is attending.
AURAWNSU.mp4,6.3,8.4,The ostrich is sensing its environment.
AURAWNSU.mp4,8.7,15.0,The ostrich is attending.
AUXPZLVZ.mp4,0.1,11.6,The black mamba is keeping still.
AUXPZLVZ.mp4,11.7,40.8,The red spitting cobra is moving.
AUXPZLVZ.mp4,40.9,41.9,The red spitting cobra is attending.
AUXPZLVZ.mp4,41.9,51.8,The red spitting cobra is keeping still.
AUXPZLVZ.mp4,52.2,65.8,The puff adder is moving.
AUXPZLVZ.mp4,7.1,8.1,The black mamba is attending.
AVCJWDSN.mp4,0.1,3.7,The snow leopard is running.
AVCJWDSN.mp4,16.8,19.4,The markhor goat is swimming.
AVCJWDSN.mp4,21.3,28.6,The snow leopard is sensing its environment.
AVCJWDSN.mp4,3.9,14.9,The markhor goat is fleeing from the snow leopard.
AVCJWDSN.mp4,3.9,8.3,The snow leopard chases after the markhor goat on the mountain side.
AVCJWDSN.mp4,33.6,47.3,The cheetah is walking.
AVCJWDSN.mp4,8.4,14.9,The snow leopard is biting its prey.
AVHOHGQD.mp4,3.8,4.5,The frog is jumping.
AVKFSFYS.mp4,11.5,12.5,The leatherback sea turtle is walking.
AVKFSFYS.mp4,2.0,2.3,The bird makes a landing.
AVKFSFYS.mp4,2.0,8.2,The bird is keeping still.
AVKFSFYS.mp4,2.3,5.3,The bird is flying.
AVKFSFYS.mp4,5.3,6.8,The bird is eating.
AVKFSFYS.mp4,6.0,8.2,The bird flies and bites on an object on the shore.
AVKFSFYS.mp4,8.3,11.4,The turtle is walking.
AVNVPPKL.mp4,14.3,16.4,The lightfoot crab is jumping.
AVNVPPKL.mp4,17.6,26.8,The lightfoot crab is moving.
AVNVPPKL.mp4,7.9,10.6,The lightfoot crab is sensing its environment.
AVSJDNPL.mp4,10.1,13.3,The chimpanzee is keeping still.
AVSJDNPL.mp4,2.8,4.7,The chimpanzee is exploring.
AVSJDNPL.mp4,4.9,6.2,The chimpanzee is licking.
AVSJDNPL.mp4,7.2,10.0,"The young chimpanzee hangs onto a branch, while holding hands with an adult chimpanzee. "
